rank,name,country_name,country_id,active,value
234,Lars Burgsmuller,Germany,GER,FALSE,3.84
235,Santiago Giraldo,Colombia,COL,FALSE,3.83
236,Jeff Tarango,United States,USA,FALSE,3.82
237,Alex De Minaur,Australia,AUS,TRUE,3.82
238,Stefan Koubek,Austria,AUT,FALSE,3.82
239,Bjorn Phau,Germany,GER,FALSE,3.76
240,Fernando Meligeni,Brazil,BRA,FALSE,3.75
241,Renzo Furlan,Italy,ITA,FALSE,3.73
242,Fernando Vicente,Spain,ESP,FALSE,3.71
243,Juan Ignacio Chela,Argentina,ARG,FALSE,3.71
244,Guillermo Coria,Argentina,ARG,FALSE,3.61
245,Amos Mansdorf,Israel,ISR,FALSE,3.61
246,Sjeng Schalken,Netherlands,NED,FALSE,3.60
247,Mikhail Kukushkin,Kazakhstan,KAZ,TRUE,3.59
248,Fabrice Santoro,France,FRA,FALSE,3.57
249,Rafael Nadal,Spain,ESP,TRUE,3.53
250,Nikolay Davydenko,Russian Federation,RUS,FALSE,3.53
251,Rainer Schuettler,Germany,GER,FALSE,3.52
252,Brett Steven,New Zealand,NZL,FALSE,3.52
253,Hyung Taik Lee,"Korea, Republic of",KOR,FALSE,3.50
254,Kei Nishikori,Japan,JPN,TRUE,3.48
255,Albert Montanes,Spain,ESP,FALSE,3.47
256,Roberto Bautista Agut,Spain,ESP,TRUE,3.46
257,Felix Mantilla,Spain,ESP,FALSE,3.40
258,Cecil Mamiit,Philippines,PHI,FALSE,3.36
259,Gaston Gaudio,Argentina,ARG,FALSE,3.36
260,Alejandro Falla,Colombia,COL,FALSE,3.35
261,Bohdan Ulihrach,Czech Republic,CZE,FALSE,3.33
262,Donald Young,United States,USA,TRUE,3.30
263,Jarkko Nieminen,Finland,FIN,FALSE,3.28
264,Grant Stafford,South Africa,RSA,FALSE,3.20
265,Byron Black,Zimbabwe,ZIM,FALSE,3.18
266,Magnus Gustafsson,Sweden,SWE,FALSE,3.16
267,Andrea Gaudenzi,Italy,ITA,FALSE,3.03
268,David Ferrer,Spain,ESP,FALSE,3.00
269,Stefan Edberg,Sweden,SWE,FALSE,2.94
270,Radu Albot,"Moldova, Republic of",MDA,TRUE,2.89
271,Marcos Ondruska,South Africa,RSA,FALSE,2.86
272,Andrei Chesnokov,Russian Federation,RUS,FALSE,2.85
273,Olivier Delaitre,France,FRA,FALSE,2.83
274,Patrick McEnroe,United States,USA,FALSE,2.81
275,Todd Woodbridge,Australia,AUS,FALSE,2.80
276,Igor Kunitsyn,Russian Federation,RUS,FALSE,2.78
277,Jan Hernych,Czech Republic,CZE,FALSE,2.71
278,Javier Sanchez,Spain,ESP,FALSE,2.64
279,Michael Russell,United States,USA,FALSE,2.62
280,Damir Dzumhur,Bosnia and Herzegovina,BIH,TRUE,2.61
281,Diego Sebastian Schwartzman,Argentina,ARG,TRUE,2.61
282,Juan Monaco,Argentina,ARG,FALSE,2.55
283,Paul Goldstein,United States,USA,FALSE,2.42
284,Dudi Sela,Israel,ISR,FALSE,2.37
285,Alex Bogomolov Jr,Russian Federation,RUS,FALSE,2.33
286,Alberto Martin,Spain,ESP,FALSE,2.32
287,Jaime Yzaga,Peru,PER,FALSE,2.22
288,Andrei Cherkasov,Russian Federation,RUS,FALSE,2.19
289,Cristiano Caratti,Italy,ITA,FALSE,2.18
290,Christophe Rochus,Belgium,BEL,FALSE,2.17
291,Francisco Clavet,Spain,ESP,FALSE,2.12
292,Pablo Andujar,Spain,ESP,TRUE,1.96
293,Yoshihito Nishioka,Japan,JPN,TRUE,1.90
294,Olivier Rochus,Belgium,BEL,FALSE,1.65
